"GEOID","NAME","UATYPE","ALAND","AWATER","ALAND_SQMI","AWATER_SQMI","INTPTLAT","INTPTLONG","clusters"
37,"Abbeville, LA Urban Cluster","C",29222239,300496,11.283,0.116,29.967224,-92.096238,1
64,"Abbeville, SC Urban Cluster","C",11271121,19786,4.352,0.008,34.179237,-82.379726,1
91,"Abbotsford, WI Urban Cluster","C",5363429,13221,2.071,0.005,44.948612,-90.315875,1
118,"Aberdeen, MS Urban Cluster","C",7416532,52820,2.864,0.02,33.824742,-88.554591,1
145,"Aberdeen, SD Urban Cluster","C",33124146,120864,12.789,0.047,45.463186,-98.471033,1
172,"Aberdeen, WA Urban Cluster","C",39997935,1929704,15.443,0.745,46.976365,-123.796056,2
199,"Aberdeen--Bel Air South--Bel Air North, MD Urbanized Area","U",339660104,9826387,131.144,3.794,39.508976,-76.303431,1
226,"Abernathy, TX Urban Cluster","C",3059834,12572,1.181,0.005,33.830523,-101.846278,3
253,"Abilene, KS Urban Cluster","C",8773261,1877,3.387,0.001,38.92106,-97.220754,1
280,"Abilene, TX Urbanized Area","U",141767010,988193,54.737,0.382,32.428784,-99.747194,1
334,"Abingdon, IL Urban Cluster","C",3739679,0,1.444,0,40.804175,-90.401522,1
388,"Ada, OH Urban Cluster","C",4752598,0,1.835,0,40.767227,-83.824659,1
415,"Ada, OK Urban Cluster","C",30913537,89141,11.936,0.034,34.774803,-96.669103,1
450,"Adams, NY Urban Cluster","C",5100412,13914,1.969,0.005,43.808664,-76.021178,1
469,"Adel, GA Urban Cluster","C",15656519,192796,6.045,0.074,31.145731,-83.429099,1
496,"Adel, IA Urban Cluster","C",4596484,0,1.775,0,41.612188,-94.021031,1
550,"Adjuntas, PR Urban Cluster","C",20440931,156184,7.892,0.06,18.166604,-66.729934,4
577,"Adrian, MI Urban Cluster","C",62205024,614809,24.017,0.237,41.914128,-84.049721,1
604,"Agat, GU Urban Cluster","C",12699268,2939,4.903,0.001,13.39108,144.669527,5
631,"Aguadilla--Isabela--San Sebastián, PR Urbanized Area","U",619708726,900690,239.271,0.348,18.370709,-67.040996,4
658,"Ahoskie, NC Urban Cluster","C",7548519,0,2.914,0,36.287867,-76.983286,1
676,"Air Force Academy, CO Urban Cluster","C",6458441,0,2.494,0,38.985935,-104.858324,6
